GROUP_NAME,DESCRIPTION,SMARTS_STRING,EXAMPLE_SMILES,COMPOUND_PROPOSAL_RULE,NEW_BB_PURCHASE_RULE
Poly-Trifluoroethyl Carbamate,More than one trifluoroethyl carbamate,[NX3][CX3](=[OX1])[OX2][CX4H2][CX4](F)(F)F.[NX3][CX3](=[OX1])[OX2][CX4H2][CX4](F)(F)F,[2H]CC(CNC(OCC(F)(F)F)=O)CNC(OCC(F)(F)F)=O,Alert,Alert
Poly-Vinyl or Alkynyl Bromide or Iodide,"Does not match aryl, acyl, oximinoyl or aryl halides.","C=,#C[Br,I].C=,#C[Br,I]",[2H]CC(/C=C\Br)=C/Br,Warn,Alert
Poly-Vinyl or Alkynyl Chloride Bromide or Iodide,"Does not match aryl, acyl, oximinoyl or aryl halides.","C=,#C[Cl,Br,I].C=,#C[Cl,Br,I]",[2H]CC(/C=C\Br)=C/Br,Warn,Alert
Positively charged N or O,Positively charged N or O,"[#7+,#8+]",[2H]C[N+]([O-])=O,Warn,Alert
Primary Aliphatic Amine,"Will match enamines, hemiaminals, aminals. Will not match ammonia or any class of amide.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H2]C)]",[2H]CN,Ignore,Alert
Primary Aliphatic Amine (alpha methylene),"Will match enamines, hemiaminals, aminals. Will not match ammonia or any class of amide.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H2][CX4H2,H3])]",[2H]CCN,Ignore,Alert
Primary Aliphatic or Aromatic Amine,"Will match enamines, hemiaminals, aminals. Will not match ammonia or any class of amide.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H2][#6])]",[2H]CN,Ignore,Alert
Primary Amide,Aliphatic or aromatic substitution is allowed,[NX3H2][CX3](=O)[#6],NC(C[2H])=O,Ignore,Ignore
Primary Aromatic Amine,"Will match heterocyclic anilines, but not endocyclic anilines (i.e. benzimidazole).","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H2]c)]",[2H]CC1=CC=C(N)C=C1,Ignore,Alert
Primary or secondary aliphatic amine,Primary or secondary aliphatic amine,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][C]),$([NX3H1]([C])[C])])]",[2H]CN,Ignore,Alert
Primary or secondary aliphatic amine and phenol,Primary or secondary aliphatic amine and phenol,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][C]),$([NX3H1]([C])[C])])].c[OD1h1]",[2H]CC1=CC(CN)=CC(O)=C1,Ignore,Alert
Primary or secondary aliphatic amine or phenol,Primary or secondary aliphatic amine or phenol,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][C]),$([NX3H1]([C])[C]),$(c[OD1h1])])]",[2H]CN,Ignore,Alert
Primary or secondary aliphatic or aromatic amine,Primary aliphatic/aromatic or secondary aliphatic/aromatic amine,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]),$([NX3H1]([#6])[#6])])]",[2H]CN,Ignore,Alert
Primary or secondary aliphatic or aromatic amine and aldehyde,Primary aliphatic/aromatic or secondary aliphatic/aromatic amine and aldehyde in the same molecule,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]),$([NX3H1]([#6])[#6])])].[$([CX3h1](=[OX1])[#6]),$([CX3h1](=C)[OX2H1]),$([CX3H2]=[OX1])]",NCCCCC[C@@H](C[2H])CCCCC=O,Alert,Alert
Primary or secondary aromatic amine,Primary or secondary aromatic amine,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][c]),$([NX3H1]([c])[#6])])]",[2H]CC1=CC=C(N)C=C1,Ignore,Alert
Primary secondary or tertiary aliphatic or aromatic amine,Primary aliphatic/aromatic or secondary aliphatic amine,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]),$([NX3H1]([#6])[#6]),$([NX3H0]([#6])([#6])[#6])])]",[2H]CN,Ignore,Alert
Pyrazole,The nitrogen is substituted with aliphatic or aromatic carbon,[#6]n1nccc1,[2H]CN1N=CC=C1,Ignore,Ignore
Pyrrole,The nitrogen is substituted with aliphatic or aromatic carbon,[#6]n1cccc1,[2H]CN1C=CC=C1,Ignore,Ignore
Secondary Aliphatic Amine,"Will match enamines, hemiaminals, aminals. Will not match any class of amide.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H1](C)C)]",[2H]CNC,Ignore,Alert
Secondary Aliphatic or Aromatic Amine,"Will match enamines, hemiaminals, aminals. Will not match any class of amide.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H1]([#6])[#6])]",[2H]CNC,Ignore,Ignore
Secondary Amide,Aliphatic or aromatic substitution is allowed,[NX3H1]([#6])[CX3](=O)[#6],CNC(C[2H])=O,Ignore,Ignore
Secondary Aromatic Amine,"Will match heterocyclic anilines, but not endocyclic anilines (i.e. benzimidazole). At least one carbon is aromatic.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H1]([#6])c)]",[2H]CC1=CC=C(NC)C=C1,Ignore,Alert
Secondary Diaryl Amine,"Will match heterocyclic anilines, but not endocyclic anilines (i.e. benzimidazole). Both carbons are aromatic.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H1](c)c)]",C1(NC2=CC=CC=C2)=CC=CC=C1,Warn,Ignore
Selenium,Aliphatic or aromatic selenium,"[Se,se]",[2H]C[Se]C,Warn,Alert
Semicarbazide,Amine is tertiary,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0]([#6])([#6])[CX3]([NX3H1][NX3H2])=O)]",O=C(NN)N(C)C[2H],Ignore,Ignore
Silicon,Silicon,[Si],[2H]C[Si],Alert,Alert
SNAr Cl,"Cl on an aromatic heterocycle (ortho or para to an EWG or aromatic N if on a 6-membered ring, or capable of forming a Meisenheimer complex on a 5-membered ring), or an ortho or para substituted nitrobenzene/benzonitrile/nitroheteroaryl/cyanoheteroaryl system","[Cl][c$([cr6R1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]@[aR1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]C#N),c$([cr6R1]@[aR1]@[aR1]@[aR1]C#N),c$([cr6R1]@[nR1]),c$([cr6R1]@[aR1]@[aR1]@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])[aR1][aR1][nR1]),c$([cr5R1]@[nR1]@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])]",ClC1=CC(C[2H])=CC=N1,Warn,Alert
SNAr F,"F on an aromatic heterocycle (ortho or para to an EWG or aromatic N if on a 6-membered ring, or capable of forming a Meisenheimer complex on a 5-membered ring), or an ortho or para substituted nitrobenzene/benzonitrile/nitroheteroaryl/cyanoheteroaryl system","[F][c$([cr6R1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]@[aR1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]C#N),c$([cr6R1]@[aR1]@[aR1]@[aR1]C#N),c$([cr6R1]@[nR1]),c$([cr6R1]@[aR1]@[aR1]@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])[aR1][aR1][nR1]),c$([cr5R1]@[nR1]@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])]",FC1=CC(C[2H])=CC=N1,Warn,Alert
SNAr F or Cl,"F or Cl on an aromatic heterocycle (ortho or para to an EWG or aromatic N if on a 6-membered ring, or capable of forming a Meisenheimer complex on a 5-membered ring), or an ortho or para substituted nitrobenzene/benzonitrile/nitroheteroaryl/cyanoheteroaryl system","[Cl,F][c$([cr6R1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]@[aR1]@[aR1][$([NX3](=O)=O),$([NX3+](=O)[O-])]),c$([cr6R1]@[aR1]C#N),c$([cr6R1]@[aR1]@[aR1]@[aR1]C#N),c$([cr6R1]@[nR1]),c$([cr6R1]@[aR1]@[aR1]@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])@[nR1]),c$([cr5R1](@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])[aR1][aR1][nR1]),c$([cr5R1]@[nR1]@[$([nH1R1]),$([nR1]!@*),$([oR1]),$([sR1])])]",FC1=CC(C[2H])=CC=N1,Warn,Alert
Sodium,Sodium,[Na],[Na]OC[2H],Ignore,Ignore
Sp2-Sp2 Single Bond (Aromatic or Vinyl),Sp2-Sp2 Single Bond (Aromatic or Vinyl),"[$(c-c),$(c-[CX3]=[CX3]),$([CX3]=[CX3]-[CX3]=[CX3])]",C=C-C=CC[2H],Ignore,Ignore
Sulfinic acid,Sulfinic acid,"[SX3](=O)[O-,OH]",O=S(O)C[2H],Alert,Alert
Sulfonamide,Substituted with aliphatic or aromatic carbon. Any substitution on the nitrogen is allowed,[#6]S(=O)(=O)N,NS(C[2H])(=O)=O,Ignore,Ignore
Sulfone,Substituted with aliphatic or aromatic carbons,[#6]S(=O)(=O)[#6],CS(CC[2H])(=O)=O,Ignore,Ignore
Sulfonyl Bromide,Sulfonyl Bromide,Br[SX4](=[OX1])(=[OX1]),O=S(C)(Br)=O,Alert,Alert
Sulfonyl Chloride,,Cl[SX4](=[OX1])(=[OX1]),O=S(C[2H])(Cl)=O,Alert,Alert
Sulfonyl Fluoride,Sulfonyl Fluoride,F[SX4](=[OX1])(=[OX1]),O=S(C)(F)=O,Alert,Alert
Sulfonyl Iodide,Sulfonyl Iodide,I[SX4](=[OX1])(=[OX1]),O=S(C)(I)=O,Alert,Alert
Sulfonyl Cyanide,Sulfonyl cyanide,S(=O)(=O)C#N,O=S(C)(C#N)=O,Alert,Alert
Sulfonyl halide,"Sulfonyl F, Cl, Br or I.","[F,Cl,Br,I][SX4](=[OX1])(=[OX1])",O=S(C[2H])(Cl)=O,Alert,Alert
Sulfur halide,"Sulfur bonded to F, Cl, Br or I","[S][F,Cl,Br,I]",ClSC[2H],Alert,Alert
Sulfuric Diamide,Any substitution on the nitrogens are allowed,NS(=O)(=O)N,NS(=O)(NC[2H])=O,Ignore,Ignore
Terminal Alkene,Will not match heterosubstituted alkenes,[#6][CX3H1]=[CX3H2],[2H]CC=C,Ignore,Ignore
Terminal Alkene (Heterosubstituted),Will not match carbon substitution,[!#6][CX3H1]=[CX3H2],[2H]CN(C)C=C,Ignore,Ignore
Terminal Alkyne,Alkyne is bonded to a carbon,[#6][CX2]#[CH1],[2H]CC#C,Ignore,Ignore
Terminal Alkyne-Azide,Terminal alkyne and azide are in the same molecule.,[#6][CX2]#[CH1].[#6]N=[N+]=[N-],[2H]C[C@@H](CCCCC#C)CCCCCN=[N+]=[N-],Ignore,Ignore
Tertiary Aliphatic Amine,All carbons are aliphatic,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0](C)(C)C)]",[2H]CN(C)C,Ignore,Ignore
Tertiary Amide,Aliphatic or aromatic substitution is allowed,[NX3H1]([#6])([#6])[CX3](=O)[#6],CN(C)C(C[2H])=O,Ignore,Ignore
Tertiary Aromatic Amine,At least one carbon is aromatic,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0]([#6])([#6])c)]",[2H]CN(C1=CC=CC=C1)C,Ignore,Ignore
Tertiary Di- or Triaryl Amine,At least 2 carbons are aromatic,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0]([#6])(c)c)]",CN(C1=CC=CC=C1)C2=CC=CC=C2,Warn,Ignore
Tertiary Triaryl Amine,All 3 carbons are aromatic,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0](c)(c)c)]",C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,Warn,Ignore
Thiirane,Thiirane,C1SC1,[2H]C[C@@H]1SC1,Alert,Alert
Thiocarboxylic Acid,Thiocarboxylic Acid,"[SX2H1][CX3](=[O,S])[#6]",SC(C[2H])=O,Alert,Alert
Thiocyanate,Thiocyanate. Will not match sulfonyl cyanides,[SX2]C#N,[2H]CSC#N,Alert,Alert
"Thiocyanate, sulfinoyl or sulfonyl cyanide","Thiocyanate, sulfinoyl or sulfonyl cyanide",SC#N,[2H]CSC#N,Alert,Alert
Thioester,Thioester,"[#6][SX2][CX3](=[O,S])[#6]",CSC(C[2H])=O,Alert,Alert
Thioether,Thioether,[#6][SX2][#6],[2H]CSC,Warn,Alert
Thiol,Matches aliphatic thiols. Will not match thiophenols or any class of thioamide.,"[!$([#16X3][A]=,#[A$([!#6])])&$([SD1h1][CX4])]",SC[2H],Alert,Alert
Thiophene,Thiophene,s1cccc1,C1=CC=CS1,Warn,Ignore
Thiophenol,,c[SD1h1],[2H]CC1=CC=C(S)C=C1,Alert,Alert
Thiosemicarbazide,The two nitrogens bonded to each other are unsubstituted,[$([NX3H2][NX3H1][CX3](=[SX1])[NX3])],[2H]CNC(NN)=S,Warn,Alert
Thiourea,Thiourea,NC(=S)N,[2H]CNC(NC)=S,Warn,Ignore
Three-membered heterocycle,"Epoxide, aziridine, or thiirane, or analogs with more than one heteroatom in the ring","*1[O,S,N]*1",[2H]C[C@H]1CO1,Alert,Alert
Trialkoxyarene,"1,2,3-; 1,2,4-; or 1,3,5-trialkoxyarene. The arene must be a six-membered ring, but could be either phenyl or heteroaryl","[CX4][OX2][c$([cr6R1]@[aR1]([OX2][CX4])@[aR1][OX2][CX4]),c$([cr6R1]@[aR1]@[aR1]([OX2][CX4])@[aR1][OX2][CX4]),c$([cr6R1]@[aR1]@[aR1]([OX2][CX4])@[aR1]@[aR1][OX2][CX4])]",COC1=CC(C)=CC(OC)=C1OC,Alert,Alert
Triflate,Triflate,[#6]OS(=O)(=O)C(F)(F)F,COS(=O)(C(F)(F)F)=O,Alert,Alert
Trifluoroethyl Carbamate,,[NX3][CX3](=[OX1])[OX2][CX4H2][CX4](F)(F)F,[2H]CNC(OCC(F)(F)F)=O,Alert,Alert
Tritium,Tritium,[3H],[3H]CC[2H],Warn,Alert
Undesirable Element,Heavy metals and other elements which are not commonly found in drugs,"[Ac,Ag,Am,Ar,As,At,Au,Ba,Be,Bi,Bk,Cd,Ce,Cf,Cm,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Fr,Ga,Gd,Ge,He,Hf,Hg,Ho,In,Ir,Kr,La,Lu,Mo,Mn,Nb,Nd,Ne,Ni,Np,Os,Pa,Pb,Pd,Pm,Po,Pr,Pt,Pu,Ra,Rb,Re,Rh,Rn,Ru,Sb,Sc,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zr]",[2H]C[Lu],Alert,Alert
Unsaturated dicarbonyl,Alkene geminally disubstituted with carbonyls or thiocarbonyls,"C(=,#C)([C,S]=O)[C,S]=O",[2H]CC=C(C(OC)=O)C(OC)=O,Alert,Alert
Urea,Urea,NC(=O)N,[2H]CNC(NC)=O,Warn,Ignore
Urea Ester (Alpha or Beta),"Urea is secondary on one side, tertiary on the other side. There is no restriction on the type of ester.","[$([#6][NX3H1][CX3](=O)[NX3H0]([#6])[#6][CX3](=O)O[#6]),$([#6][NX3H1][CX3](=O)[NX3H0]([#6])[#6][#6][CX3](=O)O[#6])]",[2H]CNC(N(C)CC(OCC)=O)=O,Warn,Ignore
Urea Ester 5membered Hydantoin Precursor,Urea Ester 5membered Hydantoin Precursor,[NX3][CX3](=O)[NX3][CX4][CX3](=O)[OX2][#6],[2H]CNC(N(C)CC(OCC)=O)=O,Ignore,Ignore
Urea Ester 6membered Hydantoin Precursor,Urea Ester 6membered Hydantoin Precursor,[NX3][CX3](=O)[NX3][CX4][CX4][CX3](=O)[OX2][#6],[2H]CNC(N(C)CCC(OCC)=O)=O,Ignore,Ignore
Vicinal Diol,The two connecting carbons are aliphatic and have at least one hydrogen,"[O!$([#8X3][A]=,#[A$([!#6])])&$([OD1h1][CX4])][CX4!H0][CX4!H0][O!$([#8X3][A]=,#[A$([!#6])])&$([OD1h1][CX4])]",[2H]C[C@H](O)CO,Ignore,Ignore
Vinyl or Alkynyl Bromide,"Does not match aryl, acyl, oximinoyl or aryl bromides.","C=,#CBr",[2H]C/C=C/Br,Warn,Alert
Vinyl or Alkynyl Chloride,"Does not match aryl, acyl, oximinoyl or aryl chlorides.","C=,#CCl",[2H]C/C=C/Cl,Warn,Alert
Vinyl or Alkynyl Iodide,"Does not match aryl, acyl, oximinoyl or aryl iodides.","C=,#CI",[2H]C/C=C/I,Alert,Alert
Virtual Boronate Diol Cores Ent 1,One possible stereoisomer of the virtual boronate cores in XLIB0089 Cyc C,B(O)(O)[C@](O)[C@H]O,O[C@]1([C@@H](O)C(C[2H])CC1)B2OC(C)(C)C(C)(C)O2,Ignore,Ignore
Virtual Boronate Diol Cores Ent 2,One possible stereoisomer of the virtual boronate cores in XLIB0089 Cyc C,B(O)(O)[C@@](O)[C@@H]O,O[C@]1(CC(C[2H])C[C@H]1O)B2OC(C)(C)C(C)(C)O2,Ignore,Ignore
Pains_acyl_het_A(9),Pains,[#7+](:[!#1]:[!#1]:[!#1])-[!#1]=[#8],,Alert,Alert
Pains_amino_acridine_A(1),Pains,c:1:c:c:c:c:2:c:1:c:c:3:c(:n:2):n:c:4:c(:c:3-[#7]):c:c:c:c:4,,Alert,Alert
Pains_amino_acridine_A(46),Pains,c:1:c:2:c(:c:c:c:1):n:c:3:c(:c:2-[#7]):c:c:c:c:3,,Alert,Alert
Pains_anil_alk_A(1),Pains,[#6](-[#1])(-[#1])-[#8]-[#6]:[#6]-[#6](-[#1])(-[#1])-[#7](-[#1])-c:2:c(:c(:c:1:n(:c(:n:c:1:c:2-[#1])-[#1])-[#6]-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_alk_B(1),Pains,[#7](-[#1])(-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#6](-[#1])-[#1])-[#1])-[#1])-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-c:2:c(:c(:c(:c(:c:2-[#1])-[#1])-[#8]-[#6](-[#1])-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_alk_bim(9),Pains,c:1:3:c(:c(:c(:c(:c:1-[#1])-[#1])-[#7](-[#1])-[#6](-[#1])(-[#1])-c:2:c:c:c:c:c:2)-[#1]):n:c(-[#1]):n:3-[#6],,Alert,Alert
Pains_anil_alk_C(1),Pains,[#7](-[#1])(-c:1:c:c:c:c:c:1)-[#6](-[#6])(-[#6])-c:2:c(:c(:c(:c(:c:2-[#1])-[#1])-[#8]-[#6](-[#1])-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_alk_D(1),Pains,[#7](-[#1])(-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#6](-[#1])(-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#1])-[#1])-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1],,Alert,Alert
Pains_anil_alk_ene(51),Pains,c:1:c:c-2:c(:c:c:1)-[#6]-3-[#6](-[#6]-[#7]-2)-[#6]-[#6]=[#6]-3,,Alert,Alert
Pains_anil_alk_indane(1),Pains,c:1(:c:c-3:c(:c:c:1)-[#7]-[#6]-4-c:2:c:c:c:c:c:2-[#6]-[#6]-3-4)-[#6;X4],,Alert,Alert
Pains_anil_alk_thio(4),Pains,[#6]-1-3=[#6](-[#6](-[#7]-c:2:c:c:c:c:c-1:2)(-[#6])-[#6])-[#16]-[#16]-[#6]-3=[!#1],,Alert,Alert
Pains_anil_di_alk_A(478),Pains,"[C;H2]N([C;H2])c1cc([$([H]),$([C;H2]),$([O][C;H2][C;H2])])c(N)c([H])c1",,Alert,Alert
Pains_anil_di_alk_B(251),Pains,c:1:c:c(:c:c:c:1-[#7](-[#6;X4])-[#6;X4])-[#6]=[#6],,Alert,Alert
Pains_anil_di_alk_C(246),Pains,"c:1:c:c(:c:c:c:1-[#8]-[#6;X4])-[#7](-[#6;X4])-[$([#1]),$([#6;X4])]",,Alert,Alert
Pains_anil_di_alk_coum(1),Pains,c:1:c(:c:c:c:c:1)-[#7](-[#6]-[#1])-[#6](-[#1])-[#6](-[#1])-[#6](-[#1])-[#7](-[#1])-[#6](=[#8])-[#6]-2=[#6](-[#8]-[#6](-[#6](=[#6]-2-[#6](-[#1])-[#1])-[#1])=[#8])-[#6](-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_D(198),Pains,"c:1:c:c(:c:c:c:1-[#7](-[#6;X4])-[#6;X4])-[#6;X4]-[$([#8]-[#1]),$([#6]=[#6]-[#1]),$([#7]-[#6;X4])]",,Warn,Warn
Pains_anil_di_alk_dhp(1),Pains,[#7]-2-[#6]=[#6](-[#6]=[#8])-[#6](-c:1:c:c:c(:c:c:1)-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#6]~3=[#6]-2~[#7]~[#6](~[#16])~[#7]~[#6]~3~[#7],,Alert,Alert
Pains_anil_di_alk_E(186),Pains,"[#6](-[#1])-[#7](-[#6](-[#1])-[#1])-c:1:c(:c(:c(:c(:c:1-[#1])-[$([#1]),$([#6](-[#1])-[#1])])-[#6](-[#1])-[$([#1]),$([#6]-[#1])])-[#1])-[#1]",,Alert,Alert
Pains_anil_di_alk_ene_A(8),Pains,[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-[#6]-2=[#6](-[#1])-c:1:c(:c:c:c:c:1)-[#16;X2]-c:3:c-2:c:c:c:c:3,,Alert,Alert
Pains_anil_di_alk_ene_B(4),Pains,[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-[#6]-2=[#6]-c:1:c(:c:c:c:c:1)-[#6]-2(-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_F(14),Pains,"c:1:c:c(:c:c:c:1-[#6;X4]-c:2:c:c:c(:c:c:2)-[#7](-[$([#1]),$([#6;X4])])-[$([#1]),$([#6;X4])])-[#7](-[$([#1]),$([#6;X4])])-[$([#1]),$([#6;X4])]",,Alert,Alert
Pains_anil_di_alk_furan_A(15),Pains,[#7](-[#6](-[#1])-[#1])(-[#6](-[#1])-[#1])-c:1:c(:c(:c(:o:1)-[#6]=[#7]-[#7](-[#1])-[#6]=[!#6&!#1])-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_furan_B(2),Pains,[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-c:1:c(-[#1]):c(:c(:o:1)-[#6](-[#1])=[#6]-[#6]#[#7])-[#1],,Alert,Alert
Pains_anil_di_alk_G(9),Pains,[#6;X4]-[#7](-[#6;X4])-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#6]2=:[#7][#6]:[#6]:[!#1]2)-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_H(6),Pains,c:1(:c(:c(:c(:c(:c:1-[#7](-[#1])-[#16](=[#8])(=[#8])-[#6]:2:[#6]:[!#1]:[#6]:[#6]:[#6]:2)-[#1])-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_I(4),Pains,c:1(:c(:c(:c(:c(:c:1-[#7](-[#1])-[#6](=[#8])-c:2:c:c:c:c:c:2)-[#1])-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_indol(1),Pains,c:1:2:c(:c(:c(:c(:c:1-[#1])-[#1])-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#1]):c(:c(-[#1]):n:2-[#1])-[#16](=[#8])=[#8],,Alert,Alert
Pains_anil_di_alk_J(3),Pains,[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#6](-[#1])=[#7]-[#7]=[#6](-[#6])-[#6]:[#6])-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_K(2),Pains,c:1:c:c(:c:c:c:1-[#7](-[#1])-[#1])-[#7](-[#6;X3])-[#6;X3],,Alert,Alert
Pains_anil_di_alk_L(1),Pains,c:1:c:c:c-2:c(:c:1)-[#6](-[#6](-[#7]-2-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#7]-4-[#6](-c:3:c:c:c:c:c:3-[#6]-4=[#8])=[#8])(-[#1])-[#1])(-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_M(1),Pains,c:1(:c:4:c(:n:c(:c:1-[#6](-[#1])(-[#1])-[#7]-3-c:2:c(:c(:c(:c(:c:2-[#6](-[#1])(-[#1])-[#6]-3(-[#1])-[#1])-[#1])-[#1])-[#1])-[#1])-[#1]):c(:c(:c(:c:4-[#1])-[#1])-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_N(1),Pains,c:1-2:c(:c(:c(:c(:c:1-[#1])-[#1])-[#1])-[#1])-[#6](=[#6](-[#1])-[#6]-3-[#6](-[#6]#[#7])-[#6](-[#1])(-[#1])-[#6](-[#1])-[#7]-2-3)-[#1],,Alert,Alert
Pains_anil_di_alk_O(1),Pains,c:1(:c(:c(:c(:c(:c:1-[#7](-[#1])-[#6](=[#16])-[#7](-[#1])-c:2:c:c:c:c:c:2)-[#1])-[#7](-[#6](-[#1])-[#1])-[#6](-[#1])-[#1])-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_di_alk_P(1),Pains,[#6](-[#1])(-[#1])-[#7](-[#6](-[#1])-[#1])-c:2:c:c:c:1:s:c(:n:c:1:c:2)-[#16]-[#6](-[#1])-[#1],,Alert,Alert
Pains_anil_NH_alk_A(5),Pains,c:1(:c(:c-2:c(:c(:c:1-[#1])-[#1])-[#7](-[#6](-[#7]-2-[#1])=[#8])-[#1])-[#1])-[#7](-[#1])-[#6](-[#1])-[#1],,Alert,Alert
Pains_anil_NH_alk_B(3),Pains,[#7](-[#1])(-[#6]:1:[#6]:[#6]:[!#1]:[#6]:[#6]:1)-c:2:c:c:c(:c:c:2)-[#7](-[#1])-[#6]-[#1],,Alert,Alert
Pains_anil_NH_alk_C(2),Pains,[#6](-[#1])-[#7](-[#1])-c:1:c(:c(:c(:c(:c:1-[#1])-[#1])-[#1])-[#1])-[#7](-[#1])-[#6]-[#1],,Alert,Alert
Pains_anil_NH_alk_D(2),Pains,[#7](-[#1])(-[#1])-c:1:c(:c(:c(:c:c:1-[#7](-[#1])-[#6](-[#1])(-[#6])-[#6](-[#1])-[#6](-[#1])-[#1])-[#1])-[#1])-[#1],,Alert,Alert
Pains_anil_NH_no_alk_A(1),Pains,n:1:c(:c(:c(:c(:c:1-[#1])-[#7](-[#1])-[#1])-[#1])-[#1])-[#7](-[#1])-[#6]:[#6],,Alert,Alert
Pains_anil_NH_no_alk_B(1),Pains,"[#7](-[#1])(-[#1])-c:1:c(:c(:c(:c(:c:1-[#7](-[#1])-[#16](=[#8])=[#8])-[#1])-[#7](-[#1])-[#6](-[#1])-[#1])-[F,Cl,Br,I])-[#1]",,Alert,Alert
Pains_anil_no_alk(40),Pains,"c:1(:c(:c(:c(:c(:c:1-[#1])-[#1])-[$([#8]),$([#7]),$([#6](-[#1])-[#1])])-[#1])-[#1])-[#7](-[#1])-[#1]",,Alert,Alert
